#,Signal Date,Symbol,Name,Bitget Symbol,Direction,Entry Price,Exit Price,Qty,PnL %,PnL USD,Hold Days,Exit Reason,Account Balance,Note
1,2023-01-12,NVDA,輝達,NVDAONUSDT,Long,771.2,915.41,2.5934,+18.7%,373.99,6,Take Profit,100373.99,Breakout
2,2023-01-31,TSLA,特斯拉,TSLAONUSDT,Long,197.5,222.96,10.1266,+12.9%,257.82,9,Take Profit,100631.81,Breakout
3,2023-02-07,AAPL,蘋果,AAPLONUSDT,Long,166.36,196.25,12.0221,+18.0%,359.34,16,Take Profit,100991.15,Breakout
4,2023-02-19,META,Meta,METAONUSDT,Long,279.71,386.22,7.1503,+38.1%,761.58,8,Take Profit,101752.73,Breakout
5,2023-03-06,GOOGL,Alphabet,GOOGLONUSDT,Long,127.56,179.5,15.6789,+40.7%,814.36,13,Take Profit,102567.09,Breakout
6,2023-03-13,AMZN,亞馬遜,AMZNONUSDT,Long,135.64,186.4,14.7449,+37.4%,748.45,11,Take Profit,103315.54,Breakout
7,2023-03-24,MSFT,微軟,MSFTONUSDT,Long,367.12,348.18,5.4478,-5.2%,-103.18,8,Time Stop,103212.36,False Breakout
8,2023-04-06,AMD,AMD,AMDONUSDT,Long,115.8,151.19,17.2712,+30.6%,611.23,14,Take Profit,103823.59,Breakout
9,2023-04-20,COIN,Coinbase,RCOINUSDT,Long,115.92,104.76,17.2533,-9.6%,-192.55,6,Stop Loss,103631.04,False Breakout
10,2023-04-30,PLTR,Palantir,RPLTTRUSDT,Long,21.17,19.32,94.4733,-8.7%,-174.78,9,Stop Loss,103456.26,False Breakout
11,2023-05-16,AVGO,博通,RAVGOUSDT,Long,898.7,1187.27,2.2254,+32.1%,642.18,5,Take Profit,104098.44,Breakout
12,2023-05-25,ARM,ARM,RARMUSDT,Long,65.22,82.09,30.6654,+25.9%,517.33,11,Take Profit,104615.77,Breakout
13,2023-06-12,NVDA,輝達,NVDAONUSDT,Long,777.51,1050.03,2.5723,+35.0%,701.0,4,Take Profit,105316.77,Breakout
14,2023-06-19,TSLA,特斯拉,TSLAONUSDT,Long,209.76,191.74,9.5347,-8.6%,-171.82,3,Stop Loss,105144.95,False Breakout
15,2023-07-01,AAPL,蘋果,AAPLONUSDT,Long,181.93,169.76,10.9932,-6.7%,-133.79,5,Time Stop,105011.16,False Breakout
16,2023-07-17,META,Meta,METAONUSDT,Long,309.24,388.93,6.4675,+25.8%,515.4,11,Take Profit,105526.56,Breakout
17,2023-07-24,GOOGL,Alphabet,GOOGLONUSDT,Long,136.33,163.43,14.6703,+19.9%,397.57,16,Take Profit,105924.13,Breakout
18,2023-08-09,AMZN,亞馬遜,AMZNONUSDT,Long,156.54,181.82,12.7763,+16.2%,322.98,18,Take Profit,106247.11,Breakout
19,2023-08-16,MSFT,微軟,MSFTONUSDT,Long,386.09,347.17,5.1801,-10.1%,-201.61,4,Stop Loss,106045.5,False Breakout
20,2023-09-01,AMD,AMD,AMDONUSDT,Long,104.02,124.82,19.2271,+20.0%,399.86,5,Take Profit,106445.36,Breakout
21,2023-09-12,COIN,Coinbase,RCOINUSDT,Long,80.83,107.49,24.7437,+33.0%,659.79,12,Take Profit,107105.15,Breakout
22,2023-09-25,PLTR,Palantir,RPLTTRUSDT,Long,16.52,21.55,121.065,+30.5%,608.57,9,Take Profit,107713.72,Breakout
23,2023-10-08,AVGO,博通,RAVGOUSDT,Long,887.44,1042.14,2.2538,+17.4%,348.66,8,Take Profit,108062.38,Breakout
24,2023-10-23,ARM,ARM,RARMUSDT,Long,63.87,57.48,31.3142,-10.0%,-200.15,6,Stop Loss,107862.23,False Breakout
25,2023-11-04,NVDA,輝達,NVDAONUSDT,Long,820.33,996.8,2.4382,+21.5%,429.78,13,Take Profit,108292.01,Breakout
26,2023-11-18,TSLA,特斯拉,TSLAONUSDT,Long,234.56,303.83,8.5272,+29.5%,590.43,14,Take Profit,108882.44,Breakout
27,2023-11-29,AAPL,蘋果,AAPLONUSDT,Long,188.01,213.13,10.6378,+13.4%,267.06,9,Take Profit,109149.5,Breakout
28,2023-12-12,META,Meta,METAONUSDT,Long,336.69,420.34,5.9404,+24.9%,496.88,11,Take Profit,109646.38,Breakout
29,2023-12-22,GOOGL,Alphabet,GOOGLONUSDT,Long,141.29,162.13,14.1555,+14.8%,294.88,16,Take Profit,109941.26,Breakout
30,2024-01-05,AMZN,亞馬遜,AMZNONUSDT,Long,153.28,182.8,13.0476,+19.3%,384.88,11,Take Profit,110326.14,Breakout
31,2024-01-17,MSFT,微軟,MSFTONUSDT,Long,395.41,380.22,5.0579,-3.8%,-76.82,9,Time Stop,110249.32,False Breakout
32,2024-01-30,AMD,AMD,AMDONUSDT,Long,167.43,232.39,11.9446,+38.8%,775.61,4,Take Profit,111024.93,Breakout
33,2024-02-12,COIN,Coinbase,RCOINUSDT,Long,151.2,215.72,13.2275,+42.7%,855.65,7,Take Profit,111880.58,Breakout
34,2024-02-28,PLTR,Palantir,RPLTTRUSDT,Long,24.11,20.94,82.9529,-13.2%,-263.0,4,Stop Loss,111617.58,False Breakout
35,2024-03-12,AVGO,博通,RAVGOUSDT,Long,1312.41,1534.4,1.5239,+16.9%,338.41,9,Take Profit,111956.0,Breakout
36,2024-03-27,ARM,ARM,RARMUSDT,Long,122.55,164.96,16.3199,+34.6%,692.44,5,Take Profit,112648.44,Breakout
37,2024-04-05,NVDA,輝達,NVDAONUSDT,Long,881.86,1208.88,2.2679,+37.1%,742.21,11,Take Profit,113390.65,Breakout
38,2024-04-18,TSLA,特斯拉,TSLAONUSDT,Long,155.73,143.87,12.8426,-7.6%,-152.3,8,Stop Loss,113238.35,False Breakout
39,2024-05-02,AAPL,蘋果,AAPLONUSDT,Long,170.69,194.48,11.7156,+13.9%,278.96,12,Take Profit,113517.31,Breakout
40,2024-05-17,META,Meta,METAONUSDT,Long,439.18,548.19,4.5534,+24.8%,496.4,6,Take Profit,114013.71,Breakout
41,2024-05-28,GOOGL,Alphabet,GOOGLONUSDT,Long,171.04,213.44,11.6934,+24.8%,495.71,10,Take Profit,114509.42,Breakout
42,2024-06-11,AMZN,亞馬遜,AMZNONUSDT,Long,184.5,235.53,10.8401,+27.7%,553.04,8,Take Profit,115062.46,Breakout
43,2024-06-26,MSFT,微軟,MSFTONUSDT,Long,444.87,481.62,4.4958,+8.3%,165.17,14,Take Profit,115227.63,Breakout
44,2024-07-08,AMD,AMD,AMDONUSDT,Long,175.44,165.59,11.3998,-5.6%,-112.31,5,Time Stop,115115.32,False Breakout
45,2024-07-21,COIN,Coinbase,RCOINUSDT,Long,235.67,289.62,8.486,+22.9%,456.37,9,Take Profit,115571.69,Breakout
46,2024-08-04,PLTR,Palantir,RPLTTRUSDT,Long,28.64,25.49,69.832,-11.0%,-220.13,4,Stop Loss,115351.56,False Breakout
47,2024-08-17,AVGO,博通,RAVGOUSDT,Long,162.18,202.22,12.3318,+24.7%,494.19,9,Take Profit,115845.75,Breakout
48,2024-08-28,ARM,ARM,RARMUSDT,Long,131.9,174.58,15.1631,+32.4%,647.42,7,Take Profit,116493.17,Breakout
49,2024-09-11,NVDA,輝達,NVDAONUSDT,Long,116.71,152.85,17.1368,+30.9%,619.25,10,Take Profit,117112.42,Breakout
50,2024-09-24,TSLA,特斯拉,TSLAONUSDT,Long,255.04,230.56,7.8419,-9.6%,-192.0,5,Stop Loss,116920.42,False Breakout
51,2024-10-05,AAPL,蘋果,AAPLONUSDT,Long,225.67,261.79,8.8617,+16.0%,319.87,13,Take Profit,117240.29,Breakout
